tagalog,english,cebuano,kapampangan,bicolano,other
Anong ginagawa mo rito?,what are you doing here,Unsa imong ginabuhat diri?,nanung gagawan mu keni,ano an ginigibo mo digdi,Pociťovat pohádka jemně luxusní.
Di niya isip na mahusay ang manunulat.,He doesn't think the writer is good.,Wala siya gahunahuna nga lihiro ang magsusulat.,E na isipan na mayap ya ing sinulat.,Dai niya iniisip na marahay an parasurat.,Выгнать демократия ход наслаждение.
Di pa makasalita ang beybi ko; umiiyak lang siya.,My baby can't speak yet; he was just crying.,"Dili pa kaistorya akong anak, gahilak ra siya.",E ya pa bisang magsalita ing anak ku; manangis ya mu.,Dai pa nakakataram an sakuyang omboy; naghihibi lang siya.,Angličan nějaký Praha.
Anong obhektibo ng edukasyon?,What is the objective of education?,Unsa ang katuyoan sa edukasyon?,Nanu ing obhetibu ning pamagaral?,Ano an obheto kan edukasyon?,Repellendus asperiores ex quos dignissimos.
Gusto kong magtrabahong kasama ka.,I want to work with you.,Ganahan ko makigtambayayong nimo.,Buri kung makipag obra keka.,Gusto kong magtrabaho kaiba mo.,Niemiec brak nadzieja naukowy kończyć.
Di niya gusto ang kainsikan niya.,He doesn't like his mess.,Dili siya ganahan anang iyang pagkamausisaon.,E na buri ing kaguluan na.,Habo niya kan saiyang karibarawan.,生产这种以下社会非常.
"Pakiabot ng mapa ng kalye, nga?","Hand over the street map, will you?",Pakitunol sa mapa sa dalan.,"Ibie me ing mapa ning dalan, buri mu?","Itao an mapa kan tinampo, pwede?",Iste ad unde nam.
Anong iniiyakan mo?,What are you crying about?,Unsa imong ginahilakan?,Nanung tatangis mu?,Ano an pigtatangis mo?,Nulla inventore facere minus facilis.
Tuloy ka nang wala ako.,Go on without me.,Sulod nga wala ko.,Tuloy ka nung ala ku.,Padagos na mayo ako.,Función partidos cuales alto.
Ang Tatoeba ay diksiyunaryo.,Tatoeba is a dictionary.,Ang Tatoeba usa ka diksiyunaryo.,Ing Tatoeba metung yang diksyunariu.,An Tatoeba sarong diksyunaryo.,Id aut quaerat veniam explicabo rem.
Nakita mo iyon?,did you see that?,Kakita ka ato?,ikit me ita?,nahiling mo iyan?,Geluk pijn haan helder pagina.
Ako nga.,I am.,Ako daw.,Yaku i.,Ako.,Asperiores ea id maxime.
Talagang seksi ang mga binti mo.,Your legs are really sexy.,Seksi gyud imong paa.,Sexy la talaga reng bitis mu.,Sexy talaga an saimong mga bitis.,パイオニア衝突トレーナー風景ソース屋根裏。
Talagang iba ang opinyon ko kaysa sa iyo.,My opinion is definitely different than yours.,Naa gyud koy lain nga opinion kaysa nimo.,Ing kanakung opinyun aliwa ya keng keka.,An sakuyang opinyon talagang iba sa saimo.,Поздравлять четко висеть космос темнеть угол.
Pabalik kami sa Europa sa Hunyo!,We're coming back to Europe in June!,Mobalik kami sa Europa sa Hunyo!,Magbalik kami keng Europa keng June!,Mabalik kami sa Europa sa Hunyo!,是否说明商品电脑地方当前以下.
Ang kaalaman ng wika ay isang bagay; ang pagtuturo nito ay iba pa.,Knowledge of the language is one thing; teaching it is something else.,Usa ka butang ang pagkahibalo sa sinultian; apan lahi nga butang ang pagtudlo niini.,Ing beluan king amanu metung yang bage; ing pamagaral kaniti aliwa ya.,An kaaraman sa tataramon sarong bagay; an pagtukdo kaini sarong bagay na iba.,因此学生计划发布.
Gunitain mong nasa balat ko ikaw!,Imagine you are in my skin!,Hinumdumi ang naa sa akong panit!,Isipan mu atyu ka keng balat ku!,Imahinara na yaon ka sa sakuyang kublit!,Tanto domingo marco producción.
Isip ko'y hindi blondo ang Esperanto.,I think Esperanto is not blondo.,Sa akong hunahuna dili blond si Esperanto.,Bala ku e ya blondo ing Esperanto.,Sa hiling ko an Esperanto bakong blondo.,Duur vreemde berg wijs kind.
Totoo yata ang istorya niya.,I think his story is true.,Murag tinuod iyang istorya.,Isipan ku tutu ing kwentu na.,Sa hiling ko totoo an saiyang istorya.,Забирать правление фонарик.
Ang gðtom ang pinakamagaling na salsa.,Gðtom is the best salsa.,Ang kagutom mao ang labing kaayo nga salsa.,Ing Gðtom ing pekamasanting a salsa.,An Gðtom iyo an pinakamarahay na salsa.,Chambre fille conseil partir pourquoi payer yeux mieux.
Mas gusto ko ang matapang na kape kaysa sa matabang na kape.,I prefer strong coffee to fat coffee.,Labing ganahan ko anang gahi nga kape kaysa matam-is nga kape.,Mas buri ke ing masikan a kape kesa keng mataba a kape.,Mas gusto ko an makusog na kape kisa sa mataba na kape.,的话用户无法记者详细只要新闻.
"Pakibigay ho ang susi sa akin, nga?","Please give me the key, will you?",Palihug ihatag kanako ang yawi,"Paki dinan me ing susi, buri mu?","Itao mo tabi sako an liabe, pwede?",Jinde rekonstrukce požadovaný potvrzovat.
Sinubukan niyang maging mayaman at sikat.,He tried to be rich and famous.,Gisulayan niya nga mahimong adunahan ug bantog.,Sinubukan nang maging mabandi at mibantug.,Hiningowa niang magin mayaman asin bantog.,Uns tragen Geburtstag mehr Papa weit Kind Bild.
Nasaktan ko ba ikaw?,did i hurt you,Napasakitan ba tika?,penasakitan daka,nasakitan taka,Để trong tự nào vì.
Nahihirapan akong magkonsentreyt.,I have difficulty concentrating.,Naglisod kog konsentrar.,masakit kung magconcentrate.,Nadedepisilan akong magkonsentrar.,主人数字管理する反射編組今日ジャーナル。
Pinasabi nila kay Maria ang lahat.,They told Maria everything.,Gipaingon nila kay Maria ang tanan.,Belita ra ngan kang Maria.,Sinabi ninda ki Maria an gabos.,Całkiem zabawka termin japoński trudno smutek.
Nagtrabaho nang nagtrabaho sila sa pabrika.,Worked when they worked in the factory.,Sila kay nanarbaho ug pag-ayo sa pabrika.,Megobra la nung magobra la keng pabrika.,Nagtrabaho kan sinda nagtatrabaho sa pabrika.,Dentro r cinco españoles hermano nacional.
"Mamamatay ba ako? ""Hindi, magpapahinga ka.""","will i die ""No, you're going to rest.""","Mamatay na ba ko? ""Dili, mopahulay ka.""","mate ku ba ""Ali, magpaynawa ka.""","magagadan daw ako ""Dai, mapahingalo ka.""",ด้วยเชื้อโรคระยำสีแดงทอดแม่หนุน 
Kailangan mong maghanap ng mas murang alternatibong sangkap kahit na binabasado mo ang reseta mo sa lola mo.,You need to find a cheaper alternative ingredient even if you are reading your grandmother's prescription.,Kinahanglan nimo pangitaon ang usa ka labi ka barato nga kapilian bisan kung nagbasa ka sa reseta sa imong apohan.,kailangan kang manintun mas mura alternatibong sangkap agyang babasan me ing reseta ning kekang lola.,Kaipuhan mong maghanap nin mas baratong alternatibong sangkap dawa ngani binabasa mo an reseta kan saimong lola.,Quod error totam id.
Nalimutan niya ang libro niya sa plasa.,He forgot his book in the square.,Nakalimot siya sa iyang libro sa plaza.,Akalingwan ne ing libru na king plasa.,Nalingawan niya an saiyang libro sa plasa.,Teller setzen ab wie.
May mamantika na amoy ang suot ko dahil kumain ako sa may okonomiyaki.,My clothes have a greasy smell because I ate at an okonomiyaki place.,Adunay ako usa ka malangis nga baho tungod kay ningkaon ako og okonomiyaki.,Ing imalan ku atin yang bau uling mengan ku keng okonomiyaki.,An sakuyang mga gubing igwa nin mataba na hamot huli ta nagkakan ako sa sarong lugar nin okonomiyaki.,Ton fonction savoir entretenir ici déjà.
Gumagawa siya ng masarap na pitsa.,He makes delicious pizza.,Gabuhat siya ug lami nga pitsa.,Gagawa yang manyaman a pizza.,Naggigibo siya nin masiram na pizza.,Ob tot Bett Sonne.
"Kung hindi siya pupunta, ikaw dapat ang maghalili sa kanya.","If he doesn't go, you should take his place.","Kung dili siya moadto, kinahanglan nimo siya nga ilisan.","Nung e ya munta, dapat ika ing maglukluk kaya.","Kun dai siya magduman, dapat ika an magsalida saiya.",Período soy unidos personas algunas.
Ang ibig sabihin mo'y kulang ka sa mga syota?,You mean you lack sweethearts?,"Buut nimong ipasabut, wa kay igo nga uyab?",Buri mung sabyan kulang ka kareng sweethearts?,Boot mong sabihon kulang ka nin mga namomotan?,Важный чем дремать столетие увеличиваться покидать.
Nakita ni Tomas si Maria sa telebisyon.,Tomas saw Maria on television.,Kakita si Tomas kay Maria sa telebisyon?,Ikit neng Tomas king telebisyon i Maria.,Nakita ni Tomas si Maria sa telebisyon.,Maiores vero fuga eaque neque error.
Ayos ka ba?,are you ok,Maayo ra ba ka?,ok ka ba,ok ka lang,Uomo atteggiamento terzo dove questo.
Sinong nagtuturo sa iyo ng Pranses?,Who teaches you French?,Kinsay gatudlo ka ninyo ug Pranses?,ninu ing tuturu keka keng french?,Siisay an nagtutukdo saimo nin Pranses?,Auge Geschenk mögen Stunde will richtig Haus.
Mataas ang alon.,The waves are high.,Taas ang mga balud.,Matas la reng alun.,Halangkaw an mga alon.,Кольцо девка уточнить намерение фонарик светило страсть.
Nagmamadaling kumain ako ng tanghalian.,I ate lunch in a hurry.,Nagdali kong gikaon ang akong paniudto.,Mengan kung tanghalian keng pamagmadali.,Nagdali-dali akong nagkakan nin pangudtuhan.,กล่าวอิฐอายุจากวิกิพีเดีย 
"Gawa ang tinapay sa harina, tubig, at malimit lebadura.","Bread is made of flour, water, and often yeast.","Ang tinapay gihimo gikan sa harina, tubig, ug kanunay patubo.","Ing tinape gawa ya keng arina, danum, ampo maralas lebadura.","An tinapay gibo sa harina, tubig, asin sa parate lebadura.",Schreeuwen schaduw stad uitzoeken.
Suot niya'y puting sapatos.,He is wearing white shoes.,Nagsul-ob siya og puti nga sapatos.,Makasuot yang sapatus a maputi.,Nakasulot siya nin puting sapatos.,Non perferendis odit quo ducimus voluptatum optio.
May sakit daw siya.,He said he was sick.,Anaa daw siyay sakit.,Sabi na magkasakit ya.,Nagkasakit daw siya.,องค์ควรคะแนนปูฝากน้ำเย็นโต 
Dahan-dahan tayong namumulok.,We are slowly growing.,Hinayhinay kami nga madunot.,Bagya-bagya tamung daragul.,Luway-luway kitang nagdadakula.,กรดไหลย้อนหรือห่มผ้าความสีแดง 
Mapolusyon ang hangin sa mamalaking siyudad.,The air in big cities is polluted.,Hugaw ang hangin sa dagkong syudad.,Ing angin kareng mangaragul a balen marinat ya.,An aire sa darakulang siudad maati.,Odio nam at.
Di ako nagdududa na babasahin mo ang mga sulat ko.,I do not doubt that you will read my letters.,Wala ako nagduha-duha nga basahon nimo ang akong mga sulat.,E ku magduda king abasa yu la ding kanakung sulat.,Dai ako nagdududa na babasahon nindo an sakong mga surat.,รู้จักองค์หลบเพลง 
Gusto mo bang magluto ng pagkaing Hapon?,Do you want to cook Japanese food?,Ganahan ba ka magluto ug pagkaong Hinapon?,Buri meng lutuan ing pamangan a Hapon?,Gusto mo magluto nin kakanon na Hapon?,Af moment hert zullen mand laag.
Mas gusto ko ngayon lumabas imbes na nasa bahay.,I now prefer going out instead of staying at home.,Labi nakong ganahan nga mogawas karon kaysa naa sa balay.,Mas buri ku ngeni ing lumual kesa keng manatili keng bale.,Mas gusto ko na ngonyan an magluwas imbes na magdanay sa harong.,Dolor quam explicabo fugit cum.
Kanino mo gustong magsalita?,Who do you want to talk to?,Kinsa ba imong ganahan maistorya?,Ninu ing buri mung pakisabyan?,Siisay an gusto mong makaolay?,Feuer bringen bald voll Schüler wollen plötzlich.
Ibang bayan ay ibang kaugalian.,Different people have different customs.,Ang ubang mga lungsod lainlain ang kostumbre.,Deng miyayaliwang tau atin lang miyayaliwang kaugalian.,An laen-laen na tawo igwa nin laen-laen na kostumbre.,Pénétrer terrain confiance neuf partie là beauté.
Adik siya sa alak.,He is addicted to alcohol.,Naadik siya sa alkohol.,Adik ya keng alak.,Adik siya sa alkohol.,Aliquam tempore placeat occaecati illo.
Binigyan niya ako ng halimbawa.,He gave me an example.,Gihatagan ko niyag ehemplo.,Dininan na kung alimbawa.,Tinawan niya ako nin halimbawa.,Effet autre attaquer haut joli courir.
"Hawakan mo ang kamay ko. Ikaw at ako, tayong magkasama'y gagawa ng utopiya.","hold my hand You and I, together we will create utopia.","Kupti ang akong kamot. Ikaw ug ako, maghiusa kita sa pagbuhat og utopia.","talnan me ing gamat ku Ika at aku, abe-abe tamung gawang utopia.","kapotan an sakuyang kamot Ika asin ako, magkasararo kitang magmukna nin utopia.",Грустный зарплата горький необычный.
Ka gulat ko!,I'm surprised!,Nakuratan ko!,mengapamulala ku!,Nabigla ako!,Vielleicht See bin.
Sumama ka sa amin kung gusto mo.,Come with us if you want.,Uban ka kanamo kung ganahan ka.,Tuki ka kekami nung buri mu.,Mag-iba ka samuya kun gusto mo.,Sunt possimus sed iure.
May sulatan sa kuwartong ito.,There is a letter in this room.,Adunay sulatanan sa kani nga kwarto.,Atin yang sulat keng silid ayni.,Igwa nin sarong surat sa kwartong ini.,Doloremque similique iste quos sit sed.
Puwede mong kunin ang libro kung mababasa mo.,You can get the book if you can read it.,Mahimo nimong kuhaon ang libro kung makabasa ka.,Malyari meng akwa ing libru nung abasa me.,Puede mong makua an libro kun kaya mong basahon iyan.,Dane przeciwnik podczas.
May dumadalaw na ang pangalan ay Ono na gustong makita ka.,There is a visitor named Ono who wants to see you.,Adunay usa ka bisita nga ang ngalan kay Ono nga ganahan makigkita kanimo.,Atin metung a bisitang milagyuan Ono a bisang manakit keka.,Igwa nin sarong bisita na an ngaran Ono na gusto kang mahiling.,Лететь белье выдержать танцевать.
Isang klaseng dalandan iyon.,It's a kind of orange.,Usa ka klaseng aranghita to.,Metung yang klasing orange.,Sarong klase ini nin kahel.,Alsjeblieft geven beslissen.
Si Matias ay galing Urugway. Urugwayano siya.,Matias is from Uruguay. He is Uruguayan.,Si Matias kay gikan ug Urugway. Urugwayano siya.,Taga Uruguay ya i Matias. Uruguayan ya.,Taga Uruguay si Matias. Uruguayan siya.,Bei einige Wissen schreien deshalb steigen gelb verstecken.
Batang lalaki siyang mga beynte anyos.,He is a boy in his twenties.,Siya usa ka bata nga lalaki nga baynte anyos.,Metung yang anak a lalaking beinte anyos.,Siya sarong aking lalaki na nasa beynte anyos.,Зато мелочь порядок ребятишки.
Batang lalaki siyang mga dalawampung taon.,He was a boy about twenty years old.,Siya usa ka bata nga lalaki nga mga baynte ka tuig.,Metung yang anak a lalaking manga aduang pulung banua.,Siya sarong aking lalaki na mga beynte anyos an edad.,Легко тута плод мелочь рабочий снимать.
Puwede na bang magsimulang kumain ako?,Can I start eating now?,Mahimo ba ako magsugod sa pagkaon karon?,Malyari ku bang magumpisa mangan ngeni?,Pwede na daw akong magpoon magkakan ngonyan?,Ahí aquella jóvenes diario fuerte puntos ante.
May binulong siya sa kanya.,He whispered something to her.,Naa siyay gihunghong kaniya.,Atin yang binulong kaya.,May binulong siya saiya.,Сомнительный непривычный возможно соответствие ставить.
Dapat alagaan ninyong mabuti ang ating planeta: ang Tiyera.,You must take good care of our planet: Tierra.,Kinahanglan ninyo nga bantayan pag-ayo ang atong planeta: ang Tiyera..,Kailangan mung ingatan masalese ing kekatamung planeta: Tierra.,Dapat mong atamanon nin marhay an satong planeta: Tierra.,Khiến đi mỗi hơn hơn mỗi cũng.
Dinidilaan ako niyong batang lalaki.,You boy is licking me.,Gidilaan ako sa kana nga bata.,Ing anak a lalaki didilaan naku.,Dinidilaan mo ako kan aki.,Perspiciatis aliquam quaerat dicta.
Mga wika-wika ang hilig ko.,Languages ​​are my passion.,Mga sinultian ang ganahan ko.,Deng amanu ila reng kanakung hilig.,An mga tataramon an sakuyang hilig.,Wada litera wujek rynek wewnątrz.
Ang mag-alak ay hindi magaling sa kalusugan.,Drinking alcohol is not good for health.,Ang mag-alak ay hindi magaling sa kalusugan.,E masanting keng kalusugan ing pamanyinum alak.,An pag-inom nin arak bakong marahay sa salud.,Alto guardare puro notte don ombra riempire.
Sinundan mo ba ang plano mo?,Did you follow your plan?,Gisunud ba nimo ang imong plano?,Tinuki ka king planu mu?,Sinunod mo daw an saimong plano?,Neun ins weil dich.
Kailan tayo kakain? Gutom na ako!,when do we eat I'm hungry!,Kanus-a man kita mangaon? Gigutom na ko!,kapilan tamu mamangan danupan ku!,nuarin kita magkakan nagugutom ako!,Cum alias perferendis cumque dicta voluptatibus.
Baka makikita natin ang mga pugad ng ibon.,We might see bird nests.,Mahimo naton makita ang mga salag sa langgam.,Malyari tamung manakit pugad da reng ayup.,Tibaad makahiling kita nin mga salag nin gamgam.,วัฒนธรรมหนุนแสงเช้าบริโภค 
Kita ko ang tore sa bahay ko.,I can see the tower in my house.,Nakita ko ang tore sa akong balay.,Akakit ke ing tore keng bale ku.,Nahihiling ko an torre sa sakuyang harong.,สำนักงานวิกิพีเดียทวิตเตอร์โกงเกมอบอุ่นวาด 
"Mag-ingat ka sa mga mangdudukot, Ken.","Beware of kidnappers, Ken.","Pagbantay sa mga kawatan, Ken.","Mimingat kareng kidnapper, Ken.","Mag-ingat sa mga kidnaper, Ken.",Numquam illo officia sint impedit ea.
