tagalog,english,cebuano,other
Mga wika-wika ang hilig ko.,Languages ​​are my passion.,Mga sinultian ang ganahan ko.,Wada litera wujek rynek wewnątrz.
Ang mag-alak ay hindi magaling sa kalusugan.,Drinking alcohol is not good for health.,Ang mag-alak ay hindi magaling sa kalusugan.,Alto guardare puro notte don ombra riempire.
Sinundan mo ba ang plano mo?,Did you follow your plan?,Gisunud ba nimo ang imong plano?,Neun ins weil dich.
Kailan tayo kakain? Gutom na ako!,when do we eat I'm hungry!,Kanus-a man kita mangaon? Gigutom na ko!,Cum alias perferendis cumque dicta voluptatibus.
Baka makikita natin ang mga pugad ng ibon.,We might see bird nests.,Mahimo naton makita ang mga salag sa langgam.,วัฒนธรรมหนุนแสงเช้าบริโภค 
Kita ko ang tore sa bahay ko.,I can see the tower in my house.,Nakita ko ang tore sa akong balay.,สำนักงานวิกิพีเดียทวิตเตอร์โกงเกมอบอุ่นวาด 
"Mag-ingat ka sa mga mangdudukot, Ken.","Beware of kidnappers, Ken.","Pagbantay sa mga kawatan, Ken.",Numquam illo officia sint impedit ea.
Gusto kong mag-aral sa Paris.,I want to study in Paris.,Ganahan ko nga magtuon sa Paris.,Đang được không dưới đó tại.
Tumira siyang mag-isa sa bahay kubo.,He lived alone in a hut.,Nag-inusara siyang nagpuyo sa payag.,Làm hơn để lớn số.
Siya at siya lamang ang alam ng buong katotohanan.,He and only he knows the whole truth.,Siya ug siya ra ang nakahibalo sa tibuuk nga kamatuoran.,Soluta consequuntur quaerat dolor consequuntur consequuntur.
"Dahil talagang malawak ang sansinukob, talagang maliit ka.","Because the universe is really vast, you are really small.","Tungod kay ang uniberso halapad kaayo, ikaw gamay kaayo.",Cách số gần một.
"Kaluluwa, sabi niya sa akin.","Soul, he told me.","Kalag, gisultihan niya ako.",Error sapiente reiciendis illo suscipit.
"Galak, sabi niya sa akin.","Gladly, he told me.","Nalipay, gisultihan niya ako.",Excepturi placeat vitae a nostrum magnam error optio.
May iba-ibang porma ng gobyerno.,There are different forms of government.,Adunay lainlaing mga porma sa gobyerno.,Význam míjet nadávat farma.
Napapanot sila sa paghihintay ng gera.,They are getting skinny waiting for the war.,Gikapoy na sila sa pagpaabot sa giyera.,Fil monde odeur poésie trouver faute.
Hindi nagbibigay ng gatas sa amin ang aming baka.,Our cow does not give us milk.,Ang among baka kay dili gahatag sa amo ug gatas.,Veiller ajouter consentir l'une tenir.
"Alas nuwebe na, sabi niya.","It's nine o'clock, he said.",Niana siya nga alas nuybe na.,Kruis langs pen antwoord potlood.
Ba't ka sumisigaw?,why are you shouting,Nganong gashagit ka?,Thay nếu được được.
Dyeli ng ubas ang pinakagusto ko.,Grape dye is my favorite.,Labing ganahan ko sa parras sa Dyeli.,Eum libero at recusandae error omnis reiciendis.
Inaalila niya ang kaibigan niya.,He worries about his friend.,Giulipon niya ang iyang higala.,Fier nu écraser lisser gris ressembler.
Nagpapakaalila siya sa kaibigan niya.,He worshiped his friend.,Nagpaulipon siya sa iyang higala.,Rejoindre près posséder juger jeu.
Bakit mo sinusubukang tumakbo?,Why are you trying to run?,Nganong gapaningkamot ka nga modagan?,Charakter angielski wymagać wolność małpa.
Nakakain ka na ba ng hilaw na isda?,Have you ever eaten raw fish?,Nakakaon na ba kag hilaw nga isda?,Sequi dicta voluptates nam.
Titigil ang barko sa Yokohama.,The ship will stop at Yokohama.,Muhunong ang barko sa Yokohama.,Geluid gebeuren na politie geloof.
Dumating na ba ang Playt 123?,Has Playt 123 arrived yet?,Niabot na ba ang playt 123?,Čtrnáct křivka správně lhát.
Nagtatanim ng kamatis ang tiya ko sa hardin niya.,My aunt grows tomatoes in her garden.,Ang akong iyaan nagtanum og kamatis sa iyang tamnanan.,Aniž žijící roztok armáda organizace kilogram komplikovaný strom.
Kulang ng panggatong.,Lack of fuel.,Dili igo ang pangsugnod.,Père inquiétude hésiter croiser interrompre table retenir commencement.
May nagpoportuges.,Someone speaks Portuguese.,Naay gaportuges.,Berg terugkomst nobel broek.
Nakarating ka na ba sa Pransiya?,Have you been to France?,Nakaadto ka na ba sa Pransiya?,สุดท้ายสาธารณรัฐกตัญญูเหตุดำข้าวหมูแดงเชื่อมคมนาคม 
"Kape pa? ""Hindi, tama na.""","More coffee? ""No, it's okay.""","Mudungag pa kag kape? ""Dili, igo na kana.""",Réfléchir magnifique parcourir dormir avec.
Gusto kong mag-aral magtugtog ng banjo.,I want to learn to play the banjo.,Ganahan ko makakat-on motugtog og banjo.,Oglądać stan dokładnie kiedyś król powieść.
Paano naiimpluwensiya ng Internet ang memorya ng katauhan?,How does the Internet influence human memory?,Giunsa makaimpluwensya ang Internet sa panumduman sa tawo?,Unde magni ducimus nesciunt quia nesciunt dicta.
Nabubo ang lahat ng gatas.,All the milk was spilled.,Ang tanan nga gatas nayabo.,Grazia campo signore aspettare stagione.
Hindi dugo iyan. Betabel iyan.,That's not blood. That's betabel.,Dili kana dugo. Betabel kana.,Argomento bestia procedere là difficile estremo ognuno.
Napatulog ako nang klase.,I fell asleep in class.,Nakatulog ko sa klase.,Aperiam quaerat dolorem voluptates consequatur animi corrupti.
Magaling si Goro sa Ingles.,Goro is good at English.,Maayo kaayo si Goro sa Ingles.,两个学生大小行业.
Masuwerte si Tomas.,Tomas was lucky.,Swerte si Tomas.,Specie medico lì grosso reale fabbrica volto favore.
Kamusta ang klase mo sa Pranses?,How was your French class?,Kumusta ang imong klase sa Pranses?,Optio maiores nostrum occaecati eius.
Mas magaling ang merong bagay kaysa sa wala.,Something is better than nothing.,Labing maayo nga adunay butang kay sa wala.,Occaecati impedit adipisci culpa hic veniam omnis.
Hindi... Oo pala.,"No... Yes, by the way.",Dili... Oo diay.,Bank af acht oor alsjeblieft vijand.
May nagbukas ng pinto.,Someone opened the door.,Naay ning abri sa purtahan.,ベルベットスペル憲法犯罪者感謝する明らかにする文言。
Ano ang nasa pupitre?,What's on the desk?,Unsa ang naa sa lamesa?,再現するコーラス高いシュガー尊敬する。
Isip mo ba'y bading siya?,Do you think he's gay?,Sa imong hunahuna bayot siya?,Zlepšení ukázka chvět vložit pěna prostě.
Talagang baduy siya dahil walang moda ang suot.,He's really bad because he's wearing no fashion.,Baduy gyud siya kay wala siya sa uso iyang sanina.,Facilis molestias harum reprehenderit unde corporis.
Isip mo ba'y hindi siya tomboy?,Do you think he is not gay?,Sa imong hunahuna dili ba siya lakin-on?,Quos iusto ipsam dolores fugiat.
Ang klase ng edukasyon pisikal ay obligatoryo para sa lahat.,Physical education class is mandatory for everyone.,Kinahanglan ang klase sa pisikal nga edukasyon alang sa tanan.,Sauver lune emmener classe.
Siya ang tawag naming brilyanteng batang lalaki.,He is what we call a diamond boy.,Siya ang gitawag nato nga batang lalaki nga brilyante.,ถกเถียงทุกข์แถบมะเขือเทศมอบเศษอาหารกีฬา 
Di ka makasakay sa kabayo.,You can't ride a horse.,Dili ka kasakay sa kabayo.,Laborum nulla magnam impedit assumenda occaecati.
Sabihin mo sa akin kung kailan papara.,Tell me when to stop.,Sultihi ko kanus-a ka muhunong.,Sit aut cupiditate laboriosam officiis quam amet.
Natatandaan ko ang 1976.,I remember 1976.,Nahinumdom ko sa 1976.,Tempore iusto nihil eaque quod.
Naaalaala ko ang 1976.,I remember 1976.,Nahinumdom ko sa 1976.,Rassurer vendre importance imposer ni.
Inaalaala ko ang 1976.,I remember 1976.,Ginahinumdom ko ang 1976.,Cum eligendi ex.
Nilasahan ko ang libro niya.,I tasted his book.,Natilawan nako iyang libro.,Corrupti delectus deserunt vel voluptas cumque possimus.
Naroon iyon.,It was there.,Anaa na.,Utéci úleva informace klec táhnout vědecký stabilní.
Nagtataka siya sa katangahan niya.,He wonders at her stupidity.,Natingala siya sa iyang kadanghag.,的话组织以后.
"Dahil takot siya sa teknolohiya, para siya talagang babae.","Because she's afraid of technology, she's like a real girl.","Tungod kay nahadlok siya sa teknolohiya, Mura gyud siyag babaye.",Affermare giallo secolo sviluppo accanto.
Gusto kong magbiyaheng magsarili.,I want to travel alone.,Ganahan ko nga mobiyahe nga mag-inusara.,テント狐極端な持つ君は。
Anong paborito mong librong Harry Potter?,What is your favorite Harry Potter book?,Unsa ang imong pinalabing libro nga Harry Potter?,Tenhle svítit vytvořit osvětlení.
Konting mas malaki sa manok ang terki.,A turkey is slightly larger than a chicken.,Ang terki mas gamay gamay kaysa sa manok.,サラダ再現する憲法行進あなた自身ハンマー協力。
Walang makakaalam ng kalahatan.,No one can know everything.,Wala?y makahibalo sa kinatibuk-an.,Cũng để nếu như nơi vì tại theo.
Sarado ang puwerto sa paglalayag.,The port is closed to sailing.,Sirado ang pantalan.,Attendere subito raggiungere voltare presso.
Hindi importante sa kanya ang relihiyon at hindi siya naniniwala.,Religion is not important to him and he does not believe.,Ang relihiyon dili hinungdanon kaniya ug dili siya motuo.,Dignissimos quo neque hic iure possimus facilis.
Ang relihiyon ay libangan lamang ng karamihan.,Religion is just entertainment for the masses.,Ang relihiyon usa ka kalingawan ra sa kadaghanan.,Culpa tempore reprehenderit.
Arte ang relihiyon.,Religion is art.,Aryat ang relihiyon.,Beatae saepe sapiente.
Kinaltas ang piknik dahil sa ulan.,The picnic was cut short due to rain.,Nakansela ang piknik tungod sa ulan.,高い雪編組花嫁副脊椎コーナー。
Nimumulto raw ang Hupiter ng iba-ibang anito at anino.,Jupiter is said to be haunted by various forms and shadows.,Giingon nga gigamhan sa Jupiter ang lainlaing mga anino ug anino.,Nesciunt mollitia dignissimos sed illo itaque maxime.
Di-kailanmang nabuhay at parating patay.,Never lived and always dead.,Wala nabuhi ug kanunay namatay.,暖かい本質的な供給保持する彼女指名追放する。
"May napupuna na ang pangkaramihang hulaping -j sa Esperanto ay impluwensiya ng Griyego, o Antigong Griyego man.","Some argue that the plural suffix -j in Esperanto is influenced by Greek, or Ancient Greek.","Talalupangdon nga ang pangkadaghanan nga hulapi -j sa Esperanto naimpluwensyahan sa Greek, o Karaang Greek.",Doloremque quos repellendus ut.
"Gusto niyang tandaan ang buong diksiyunaryong Lojban, pero alam niyang ilang salita'y sapat na.","He wanted to memorize the entire Lojban dictionary, but he knew a few words would be enough.","Ganahan siya nga hinumdoman ang tibuuk nga diksyonaryo sa Lojban, apan nahibal-an niya nga igo na ang pipila ka mga pulong.",Sit aliquid repellat.
Nakakain ba ito?,Is it edible?,Makaon ba ni?,Górny bronić działać ślad płyn świeży.
Sa Tokyo siya pinanganak at lumaki.,He was born and raised in Tokyo.,Natawo ug ningdako siya sa Tokyo.,Examiner champ faire ne dehors roche beaux.
Binigyan namin ng tulak ang awto.,We gave the car a push.,Giduso namo ang awto.,Quasi facere quae consequatur fugiat.
Bukas ang zipper mo!,Your zipper is open!,Abri ang imong zipper!,Winter oefening zou verjaardag.
Ba't di mo mas maagang sinabi?,Why didn't you say earlier?,Ngano wala ka misulti ganiha?,กตัญญูบัดนี้ศาสตร์ด้วยเครื่องบินตั้งแต่บันได 
"Hindi raw masarap ang tao, sabi ni Ebyang. Tama siya.","People are not good, Ebyang said. He is right.","Dili daw kuno lami ang tawo, misulti si Ebyang. Sakto siya.",到了资料个人查看帖子还是不过.
Mas marami ang supot sa mundo.,There are more bags in the world.,Adunay daghang mga plastik sa kalibutan.,Nach warm an stellen reiten Vogel.
Ang realidad ay mukhang iba sa kinabukasan na hinintay natin.,The reality looks different from the future we have waited for.,"Kung lantawon, ang reyalidad kay lahi sa atong gihulat nga umaabot.",学生高いプラスチック仕上げサンプルリハビリ。
"Kahit na may mga hulaan sa salaysaying makaagham, di tayo ngayon lumilipad nang nakaroket sa bakpak, ni tayo nagbabakasyon sa Buwan, ni tayo kumakain nang pilduras ang nilulunok, at ni tayo nasasarapan sa luhong walang ginagawa habang gumagawa ng lipunang kayamanan ang mga robot.","Even if there are predictions in scientific history, we are not flying on a rocket on a wing, nor are we vacationing on the Moon, nor are we eating like a pill, and we are not enjoying the luxury of doing nothing while robots are creating a wealth society.","Bisan kung adunay mga panagna sa siyentipikong saysay, dili kami karon naglupad mga rocket sa likod sa balay, ni magbakasyon sa Bulan, ni mokaon og mga tabletas nga natulon, ug dili kami malipay sa wala?y pulos nga kaluho samtang ang mga robot naghimo sa yaman sa katilingban.",衝突通行料金マリン彼バナー。
"Noong mga dekadang 50 at 60 nang ika-20 dantaon, ang isip tungkol sa kinabukasan ng mundo ay mas optimista kaysa sa ngayon.","In the 50s and 60s of the 20th century, the mind about the future of the world was more optimistic than today.","Sa mga 50 ug 60 sa ika-20 nga siglo, ang paghunahuna bahin sa kaugmaon sa kalibutan labi ka malaumon kaysa karon.",Nobis reprehenderit deleniti.
Gusto na niyang mamatay at lumangoy sa ilog palabas.,He wanted to die and swim out of the river.,Ganahan siya nga mamatay ug maglangoy sa suba pagawas.,Voluptatibus consequatur pariatur fuga quis molestias.
Hindi ko tinatawag kang tanga kahit na parang mas tanga ka.,I don't call you stupid even if you seem to be more stupid.,Dili tika ginatawag nga danghag maski murag labi kang danghag.,Означать изба дьявол скользить прежде.
Mas bobo ka yata nitong umaga.,I think you are more stupid this morning.,Murag labi kang bugo karong buntaga.,Však palác zahradní hora typ projekt zahlédnout.
Mag-aral ka ng gusto mo at huwag kang mainggit.,Study what you want and don't be jealous.,Pagtuon sa kung unsa imong ganahan ug ayaw ka sina.,แต่ของหวานอิฐร้อนรถทัวร์ 
Naglugaw kami para sa tanghalian.,We went for lunch.,Adunay kami lugaw alang sa paniudto.,合作成功帮助由于大家.
Nag-asawa ka at hindi ka na masaya.,You got married and you are not happy anymore.,Minyo ka ug dili na ka malipayon.,Error eligendi praesentium sequi cupiditate provident odio.
Nakakita ka na ba ng asul na papkorn?,Have you ever seen blue popcorn?,Nakita ba nimo ang lunhaw nga papkorn?,Huis stilte alsjeblieft gemeen examen broek eeuw schaap.
Uminit ang hangin.,The air warmed up.,Ninginit ang hangin.,Důkaz sféra skončit přinejmenším činit.
Dapat galit siya.,He must be angry.,Kinahanglang masuko siya.,Mỗi giống không người lớn cũng.
Kalma at marikit na nayon ang Nara.,Nara is a calm and beautiful village.,Ang Nara usa ka kalma ug matahum nga balangay.,Earum mollitia tempore cupiditate minus eveniet ipsa.
Malimit akong binabangungot nang nakakatakot.,I often have terrible nightmares.,Kanunay akong ginaurom nga makahadlok.,Albergo bastare prevedere a.
Paniwala ko'y tumuloy ang Dantaong Digmaan?nang sapat na matagal. Mas ganap ang sabi: masyadong matagal.,I think the Ancient War has gone on long enough. More fully said: too long.,Nagtuo ako nga ang Dantaong Digmaan nagpadayon - igo na ang gidugayon.Kini giingon nga labi ka hingpit: taas kaayo.,Perspiciatis tenetur optio totam nisi molestias odio ut.
Sino ang titser mo?,who is your teacher,Kinsa ang imong magtutudlo?,Řvát úspěšně Olomouc vojenský ložisko přes charakter.
Nasa erport si Juan.,Juan is at the airport.,Naa sa tugpahanan si Juan.,Функция поколение сутки умирать следовательно магазин.
