tagalog,english,cebuano
Natutulog ang pusa sa mesa.,The cat is sleeping on the table.,Natulog ang iring sa imabaw sa lamesa.
Nabansagang traydor ang lalaki.,The man was labeled a traitor.,Nailhang traydor ang lalaki.
Ginising ako ng ingay.,The noise woke me up.,Gimata ko sa kasaba.
Gula-gulanit na ang lumang kastilyo.,The old castle is in tatters.,Guba ang daan nga kastilyo.
Naghahanap ang pulisya ng masisisi.,The police are looking for someone to blame.,Nagapangita nag mga pulis og mamahay.
Umaagos ang tubig sa ilalim ng tulay.,Water flows under the bridge.,Gatubod ang tubig sa lialum sa tulay.
May mansanas sa ilalim ng pupitre.,There is an apple under the desk.,Naay mansanas sa ilalum sa pupitre.
Di komportable ang mga upuang ito.,These seats are not comfortable.,Dili komportable ang kining mga bagko-a.
Nagbilad sila sa araw.,They spread out in the sun.,Nagpainit sila sa adlaw.
Nagsalita silang nagkakape.,They talked over coffee.,Nagistoryahanay sila nga gakape.
Gusto nilang pag-usapan ang mga bagay tungkol sa relihiyon.,They like to talk about religious things.,Gusto nilang hisgutan ang mga butang mahitungod sa relihiyon.
Masyadong maliit itong T-shirt sa akin.,This T-shirt is too small for me.,Pirti ka gamay kining sanina sa akoa.
Ito'y mahirap na problemang matematika.,This is a difficult math problem.,Kini lisud nga problema sa matematika.
"Di akin itong relo, kundi iyo.","This watch is not mine, but yours.","Dili akoa ning reloha, kundi imo."
Pinakamagandang araw ito ng buhay ko.,This is the best day of my life.,Pinakanindot kining adlaw sa akong kinabuhi.
Di alam ni Tomas kung ano pang gagawin niya.,Tomas doesn't know what else to do.,Wala kahibalo si Tomas kung unsa pa iyang buhaton.
Mas gusto ni Tomas ang kape kaysa sa tsa.,Tomas prefers coffee to tea.,Mas gusto ni Tom ang kape kompara sa tsa.
Gusto ni Tomas ang pizza at pritong patatas.,Tomas likes pizza and fried potatoes.,Gusto ni Tomas ang pizza og piniritong patatas.
Binabayaran ni Tom si Mary para linisin ang kanyang bahay.,Tom pays Mary to clean his house.,Gianabayaran ni Tom si Mary aron limpyohan iyang balay.
Gisingin mo kami para sa almusal.,Wake us up for breakfast.,Mataha mi para sa pamahaw.
Di natin talagang mahuhulaan ang anuman.,We can't really predict anything.,Dili gayud nato matagnaan ang unsa man.
Di namin talagang mahuhulaan ang anuman.,We can't really predict anything.,Dili gayud namo matagnaan ang unsa man.
Dapat huwag tayong magdaldalan sa aklatan.,We should not chat in the library.,Dapat dili ta mag tabi sa laybrari.
Naglakad kaming palibot ng lawa.,We walked around the lake.,Naglakaw mi nga naglibot sa sapa.
Anong ginagawa mo sa mga libreng oras mo?,What do you do in your free time?,Unsa ginabuhat nimo sa oras nga bakante ka?
"Kung saan may buhay, may pag-asa.","Where there is life, there is hope.","Kung asa naay kinabuhi, naay pag laum."
Pupunta ka ba sa party mamayang gabi?,Are you going to the party tonight?,Moadto ba ka sa parti unyang gabii?
Wala kang makitang kamalian sa kahit sino.,You see no fault in anyone.,Wala kay makit-an nga mali sa maskig kinsa.
Hindi ka dapat kumain ng kahit anong maanghang.,You should not eat anything spicy.,Dili ka dapat mukaon ug maskig unsa nga halang.
Iniintay ka ng mga kaibigan mo.,Your friends are waiting for you.,Ginahulat ka sa imong mga kauban.
Ang aksidente ay bunga ng kawalang-isip.,Accidents are the result of carelessness.,Ang disgrasya kay bunga sa dili paghuna-huna.
"Pagkatapos manuod ng tibi, natulog na ako.","After watching tibi, I went to sleep.","Pagkahuman ug tan-aw ug tibi, natulog na ko."
Hinog ang seresa sa Hunyo o Hulyo.,The cherry ripens in June or July.,Hinog ang seresa sa Hunyo og Hulyo.
Sarhan mo ang mga mata mo nang tatlong minuto.,Close your eyes for three minutes.,Ipiyong imong mga mata sa sulod sa tulo ka minuto.
Tinulungan ba ni Tomas ang nanay niya kahapon?,Did Tomas help his mother yesterday?,Gitabangan ba ni Tomas ang inahan niya kagahapon?
Sumali ka ba sa singing contest?,Did you join the singing contest?,Niapil ba ka sa tigiay sa pagkanta?
Meron ba kayo nito sa mas malaking says?,Do you have it in bigger says?,Naa ba mo ani nga mas dako pa?
Huwag kang matakot magkamali.,Don't be afraid to make mistakes.,Ayaw kahadlok nga mamali.
Ayaw mo bang pumunta sa party?,Don't you want to go to the party?,Dili ba ka muadto sa parti?
Nakakain ka na ba ng pagkaing Hapon?,Have you ever eaten Japanese food?,Nakakaon na ba ka og pagkaon sa Hapon?
Nakapaglakbay ka na ba sa pamamagitan ng eroplano?,Have you ever traveled by plane?,Nakabiyahe na ba ka nga sakay ang eroplano?
Gumising siya nang alas-otso ng umaga.,He woke up at eight in the morning.,Ningmata siya ala-osto sa buntag.
Katulong ng arkeyologo siya.,He is an archaeologist's assistant.,Katabang sa arkeyologo siya.
Abala siya sa paghahanda para sa biyahe.,He was busy preparing for the trip.,Nagkapulik siya sa pagpangandam alang sa iyang biyahe.
Atat siyang pumunta sa ospital.,And he went to the hospital.,Atat siya nga muadto sa ospital.
Nakatira siya sa bahay doon.,He lives in the house there.,Nakapuyo siya sa balay digto.
Ayaw na niyang pag-usapan pa tungkol doon.,He didn't want to talk about it anymore.,Di niya gusto hisgutan pa ang mahitungod digto.
Ipinakita niya sa akin ang daan papunta sa tindahan.,He showed me the way to the store.,Gipakita niya sa akoa ang agianan padulong digto.
Dalawampung sigarilyo siya sa isang araw.,He smokes twenty cigarettes a day.,Kawhaan ka sigarilyo siya isa ka adlaw.
Gusto niyang tumira sa Hilagang Amerika.,He wants to live in North America.,Gusto niya mupuyo sa Amihanang Amerika.
Gusto niyang mag-aral ng musika at sayaw.,She wants to study music and dance.,Gusto niya mag tuon ug mussika ug sayaw.
Gaano karami ang mga tao sa iyong grupo?,How many people are in your group?,Unsa kadagahan ang tawo sa imong grupo?
Ilang tao ang nasa grupo mo?,How many people are in your group?,Pila ka tawo ang naa sa imong grupo.
Naniniwala akong wagas na Picasso iyon.,I believe it is purely Picasso.,Nagatoo ko nga putli nga Picasso to.
Wala akong pinangako na kahit ano sa kahit na sino.,I didn't promise anything to anyone.,Wala koy gisaad nga maskig unsa sa maskig kinsa.
Hindi ako masyadong nakakapag-ehersisyo nitong mga nakaraang araw.,I haven't been exercising much lately.,Wala kaayo ko nakapag-ehersisyo kining niaging mga adlaw.
Wala akong takdang aralin ngayong gabi.,I don't have homework tonight.,Wala koy bulohaton karong gabhiona.
May nahanap akong isang mahusay na Mehikanong karinderya.,I found a great Mexican restaurant.,Aduna koy nakita nga na nindut nga Meksikanong kana-anan.
Kababalik ko lamang galing sa paaralan.,I just came back from school.,Mao pay pagbalik nako gikan og eskwelahan.
Gusto kong mag-aral ng mga wikang dayuhan.,I want to study foreign languages.,Gusto nako mag tuon ug pinulongan sa mga langyaw.
Gusto kong mag-aral ng wikang dayuhan.,I want to study a foreign language.,Gusto nako mag tuon ug pinulongan sa langyaw.
Sa tingin ko masyadong kamukha ni Tom si John.,I think Tom looks too much like John.,Sa tan-aw nako duol kaparehas kaayo og nawong si Tom ug John.
Isip kong para siyang manunula.,I think he is like a poet.,Gihunahuna nako nga mura siya og mamamalak.
Naglakad-lakad ako para magpahangin.,I walked around to get some air.,Naglakaw-lakaw ko para magpahanagin.
Ikakasal pa kaya ako?,Will I still get married?,Kaslon pa kaha ko?
"Isang baso ng tubig, po.","A glass of water, please.","Usa ka baso nga tubig, palihug."
Gusto kong magtrabaho sa kapetirya.,I want to work in the cafeteria.,Gust nako magtrabaho sa kapetirya.
Sasamahan kita pagkatapos nang ilang minuto.,I'll join you in a few minutes.,Ubanan tika pagkahuman sa pipila ka minuto.
Maghihintay ako rito hanggang bumalik siya.,I will wait here until he returns.,Maghulat ko diri hangtud nga mubalik siya.
Sabik akong makita siyang muli.,I look forward to seeing him again.,Gusto na kaayo nako makita siya.
"Kung ganoon, magbabago ako ng isip.","If so, I'll change my mind.","Kung mao to, magbag-o akong hunahuna."
Noong pang Martes na umuulan.,On a rainy Tuesday.,Kaniadto pang Martes gaulan.
Hindi malayo sa otel.,Not far from the hotel.,Dili layo sa hotel.
Maaaring pumarini siya.,He may attend.,Pwede nga muadto siya diri.
Parang nagsisinungaling siya.,It's like he's lying.,Murag nagapangatik siya.
Mahirap alagaan ang umiiyak na sanggol.,It is difficult to take care of a crying baby.,Lisud bantayan ang gahilak na gamayng bata.
Pakiguwardiyahan mo ang bag ko nang sandali.,Please guard my bag for a moment.,Pakibantayi akong bag kadali.
Dapat maayos ang kuwarto mo nang kaya mong maayos.,Your room should be as tidy as you can tidy it.,Kinahanglan nga mahan-ay ang kuwarto nimo hantud sa kaya nimo nga maayos.
Matuto ka mula sa pagkakamali ng iba.,Learn from the mistakes of others.,Makahibalo ka gikan sa mga kamalian sa uban.
Maghintay tayo hanggang tumila ang ulan.,Let's wait until the rain stops.,Maghulay ta hantud mahunong ang ulan.
Tutulungan tayo ni Maria bukas.,Maria will help us tomorrow.,Tabangan ta ni Maria ugma.
Isa-isang nilabas ni Mary ang mga itlog.,Mary took out the eggs one by one.,Isa-isa nga gigawas ni Maria ang itlog.
Magaling magbayla ang bespren ko.,My money is good.,Hawod magbayle akong amigo.
Magaling sumayaw ang bespren ko.,My vespren danced well.,Hawod musayaw akong amigo.
Walang tao sa miting.,No one at the meeting.,Walay tao sa miting.
Madalas nagku-krus ang aming mga landas.,Our paths often cross.,Kasagaran gakrus ang among mga agianan.
Phoenix ang kabisera ng Arizona.,Phoenix is ​​the capital of Arizona.,Phoenix ang kabisera sa Arizona.
Kumuha ka pa ng keyk.,Get some more cake.,Kuha pa og keyk.
Hinalo niya nang kutsara ang sopas.,He stirred the soup with a spoon.,Gihalo niya sa kutsara ang sabaw.
"Pasensya na, medyo marami akong gagawin ngayon.","Sorry, I have a lot to do right now.","Pasaylo-a, medyo daghan ko og ginabuhat."
Yaong otel ay talagang malapit sa lawa.,That hotel is really close to the lake.,Katong hotel kay tuod nga duol sa lawa.
Pumasok ang bata sa bintana.,The boy entered through the window.,Misulod ang bata sa bintana.
Bumababa ang kalidad ng bigas.,The quality of rice is declining.,Ganaog ang kalidad sa bugas.
Maraming uri ng kape.,There are many types of coffee.,Daghag kalse sa kape.
Gumigising sila ng ika-6 ng umaga araw-araw.,They wake up at 6 in the morning every day.,Nagamata sila ug alsa sais sa buntag.
Akin ang bahay at lupang ito!,This house and land is mine!,Akoa ning balaya ug yutaa.
Paalis ang tren nang alas nuwebe.,The train leaves at nine o'clock.,Palakaw ang tren sa alas nuwebe.
Bumili si Tom ng dalawang kopya ng libro.,Tom bought two copies of the book.,Ningpalit si Tom og duha ka kopya sa libro.
Hindi naniwala si Tom sa sinabi ni Mary.,Tom did not believe what Mary said.,Wala mituo si Tom sa giingon ni Maria.
Di alam ni Tomas na ganoong nakakatawa si Maria.,Tomas didn't know that Maria was so funny.,Wala nakahibalo si Tom og unsa kakataw-anan si Maria.
Di marunong si Tomas magtali ng kurbata.,Tomas does not know how to tie a tie.,Dili kabalo si Tom magtali sa kurbata.
Malapit nang bumalik si Tom.,Tom will be back soon.,Hapit na mubalik si Tom.
Si Tom ang pinakahuling mag-aaral na umalis.,Tom was the last student to leave.,Si Tom ang pinakaulahi nga milakaw nga estudyante.
Nag-enjoy kami sa party.,We enjoyed the party.,Naglipay kami sa parti.
Tumakbo kami sa kalahatan ng daan papuntang estasyon.,We ran all the way to the station.,Ningdagan mi sa tanang agianan padulong sa estasyon.
Karaniwang nag-aalmusal kami nang 07:30.,We usually have breakfast at 07:30.,Kasagaran nga nagapamahaw mi 07:30.
Nahuli kami dahil ng bagyo.,We were late because of the typhoon.,Naulahi mi tungod sa bagyo.
"Sa iyo, anong umaanib sa tag-init?","To you, what is associated with summer?","Sa kaninyo, unsa naghiusa sa ting-init?"
Ano sa tingin mo ang ginagawa ko?,What do you think I'm doing?,Unsa sa tan-aw nimo akong ginabuhat?
Anong gusto mong pang-almusal?,What do you want for breakfast?,Unsay imong gusto nga pamahaw?
Ano ang paborito mong uri ng pagkain?,What is your favorite type of food?,Unsa ang imong paborito nga matang sa pagkaon?
Nasaan ang kapitan ng barkong ito?,Where is the captain of this ship?,Asa ang kapitan aning barkoha?
Sinong hepe nitong gusali?,Who is the boss of this building?,Kinsa ang hepe ani nga bilding?
Ba't di ka makatulog kagabi?,Why couldn't you sleep last night?,Nganong dili ka matulog sa miaging gabii?
Bakit ba na palaging huli ka?,Why are you always late?,Nganong kanunay ulahi?
"Kumain ka na ng tanghalian, di ba?","You've had lunch, haven't you?","Ningkaon ka og paniusdto, di ba?"
Pipindutin mo lamang itong butones.,You just press this button.,Pinduton lng nimo ning butones.
May sampung segundo na ang natitira sa buhay mo.,You have ten seconds left to live.,Aduna napulo ka segundo nga nahibilin sa imong kinabuhi.
Pumili kayo ng alinmang gusto ninyo.,Choose whichever you like.,Pili mo sa unsa man nga inyong gusto.
Puwede kang pumili kung alinman ang gusto mo.,You can choose whichever you like.,Mamahimo ka nga mopili sa imong buot gusto.
Maaari kang pumili kung alinman yung gusto mo.,You can choose whichever you want.,Mamahimo ka nga mopili sa imong buot gusto.
Sumama ka sa kanya kung gusto mo.,Go with him if you want.,Uban kaniya og gusto ka.
Dapat maghanda na siya para sa kinabukasan.,He must prepare for the future.,Kinahanglan na siya mag-andam alang sa umaabut.
Ikaw lamang ang makakagawa niyon.,Only you can do that.,Ikaw ra ang makabuhat ato.
Ang alhebra ay isang sangay ng matematika.,Algebra is a branch of mathematics.,Ang alhebra usa ka sanga sa matematika.
Ang Amerika ay lugar ng oportunidad.,America is a place of opportunity.,Ang Amerika lugar sa mga opurtunidad.
Maaari ka bang tumawag ulit mamaya?,Can you call back later?,Mamahimo ba ka nga mutawag usab?
Dinala mo ba ang payong mo?,Did you bring your umbrella?,Gidala ba nimo imong payong?
Meron kayong magasing Hapon?,Do you have a Japanese magazine?,Naa ba moy Hapon nga magasin?
Gusto mo ba ng mga pelikulang siyensiyang piksiyon?,Do you like science fiction movies?,Gusto ba nimo ug mga pelikula nga siyensiyang piksiyon?
Laging maganda ang sinasabi tungkol kay Tom.,Always nice things to say about Tom.,Kanunay nga maayo ang ginasulti mahitungod kang Tom.
Magandang umaga. Oras nang gumising.,good morning Time to wake up.,Maayong buntag. Oras na para magmata.
Magaling! Magkita pa uli tayo.,Well done! Let's meet again.,Maayo! Magkita pa ta og usab.
Nakapagtulis ka na ba nitong kutsilyo?,Have you ever sharpened this knife?,Nabairan na ba nimo ning kustilsyo?
Dumating siya kahit malakas ang pag-snow.,He came even though it was snowing heavily.,Miabot siya bisan sa kusog nga nyebe.
Hindi siya marunong masyadong mag-ingles.,He doesn't know much English.,Dili kaayo siya kabalo mag Iningles.
Malaki ang tiwala niya sa kanyang sarili.,He has a lot of confidence in himself.,Dako ang iyang pagsalig sa iyang kaugalingon.
Naglilibot siya nang pagkawalang diwa.,He wandered around absent-mindedly.,Nagatuyok siya nga walay buot.
Humiga siya nang ganap na pahaba sa damo.,He lay down perfectly lengthwise on the grass.,Mihigda siya nga pababag sa kasagbutan.
Pinakawalan niya ang aso sa hardin.,He let the dog loose in the garden.,Iyang gibuhian ang iro sa tanaman.
Itong-ito ang hinahanap niya.,This is what he is looking for.,Mao gayud kini ang iyang ginapanigta.
Hoy! Anong ginagawa mo sa kwarto ko?,Hey! what are you doing in my room,Hoy! Unsay imong ginabuhat sa kwarto nako?
Nagbabakasyon ako sa dalampasigan.,I'm on vacation at the beach.,Nagabakasyon ko sa baybayon.
Di ko alam na Hapon siya.,I didn't know he was Japanese.,Wala ako mahibalo nga siya Hapon.
Kailangan ko ng asukal.,I need sugar.,Kinahanglan nako og asukar.
Meron ka ba?,do you have,Naa ba ka?
Nakilala ko ang boses mo agad.,I recognized your voice immediately.,Nailhan dayon nako ang imong tingog.
Naiintidihan ko ang pakiramdam mo.,I understand how you feel.,Makasabut ko sa imong gibati.
Nagbiyahe ako sa lahat ng parte ng daigdig.,I traveled all over the world.,Mibiyahe ko ngadto sa tanang bahin sa kalibutan.
Nakatulog ako nang alas dose ng gabi.,I fell asleep at twelve o'clock at night.,Nakatulog ko sa alas dose sa gabii.
Wala ako sa bayan nang ilang araw.,I was out of town for a few days.,Wala ko sa lungsod sa pipila ka adlaw.
Mas mahirap kaysa sa iniisip mo.,It's harder than you think.,Mas lisud pa kay sa imong hunahuna.
Nag-martsa ang mga puwersang Hapones patungo sa Burma.,Japanese forces marched into Burma.,Mimartsa ang pwersa nga Hapon ngadto sa Burma.
Magbidyugeym tayo o kaya ano.,Let's play video games or something.,Magbidyugeym kita o unsa.
