tagalog,english,cebuano,kapampangan,bicolano
Kailangan mong maghanap ng mas murang alternatibong sangkap kahit na binabasado mo ang reseta mo sa lola mo.,You need to find a cheaper alternative ingredient even if you are reading your grandmother's prescription.,Kinahanglan nimo pangitaon ang usa ka labi ka barato nga kapilian bisan kung nagbasa ka sa reseta sa imong apohan.,kailangan kang manintun mas mura alternatibong sangkap agyang babasan me ing reseta ning kekang lola.,Kaipuhan mong maghanap nin mas baratong alternatibong sangkap dawa ngani binabasa mo an reseta kan saimong lola.
Nalimutan niya ang libro niya sa plasa.,He forgot his book in the square.,Nakalimot siya sa iyang libro sa plaza.,Akalingwan ne ing libru na king plasa.,Nalingawan niya an saiyang libro sa plasa.
May mamantika na amoy ang suot ko dahil kumain ako sa may okonomiyaki.,My clothes have a greasy smell because I ate at an okonomiyaki place.,Adunay ako usa ka malangis nga baho tungod kay ningkaon ako og okonomiyaki.,Ing imalan ku atin yang bau uling mengan ku keng okonomiyaki.,An sakuyang mga gubing igwa nin mataba na hamot huli ta nagkakan ako sa sarong lugar nin okonomiyaki.
Gumagawa siya ng masarap na pitsa.,He makes delicious pizza.,Gabuhat siya ug lami nga pitsa.,Gagawa yang manyaman a pizza.,Naggigibo siya nin masiram na pizza.
"Kung hindi siya pupunta, ikaw dapat ang maghalili sa kanya.","If he doesn't go, you should take his place.","Kung dili siya moadto, kinahanglan nimo siya nga ilisan.","Nung e ya munta, dapat ika ing maglukluk kaya.","Kun dai siya magduman, dapat ika an magsalida saiya."
Ang ibig sabihin mo'y kulang ka sa mga syota?,You mean you lack sweethearts?,"Buut nimong ipasabut, wa kay igo nga uyab?",Buri mung sabyan kulang ka kareng sweethearts?,Boot mong sabihon kulang ka nin mga namomotan?
Nakita ni Tomas si Maria sa telebisyon.,Tomas saw Maria on television.,Kakita si Tomas kay Maria sa telebisyon?,Ikit neng Tomas king telebisyon i Maria.,Nakita ni Tomas si Maria sa telebisyon.
Ayos ka ba?,are you ok,Maayo ra ba ka?,ok ka ba,ok ka lang
Sinong nagtuturo sa iyo ng Pranses?,Who teaches you French?,Kinsay gatudlo ka ninyo ug Pranses?,ninu ing tuturu keka keng french?,Siisay an nagtutukdo saimo nin Pranses?
Mataas ang alon.,The waves are high.,Taas ang mga balud.,Matas la reng alun.,Halangkaw an mga alon.
Nagmamadaling kumain ako ng tanghalian.,I ate lunch in a hurry.,Nagdali kong gikaon ang akong paniudto.,Mengan kung tanghalian keng pamagmadali.,Nagdali-dali akong nagkakan nin pangudtuhan.
"Gawa ang tinapay sa harina, tubig, at malimit lebadura.","Bread is made of flour, water, and often yeast.","Ang tinapay gihimo gikan sa harina, tubig, ug kanunay patubo.","Ing tinape gawa ya keng arina, danum, ampo maralas lebadura.","An tinapay gibo sa harina, tubig, asin sa parate lebadura."
Suot niya'y puting sapatos.,He is wearing white shoes.,Nagsul-ob siya og puti nga sapatos.,Makasuot yang sapatus a maputi.,Nakasulot siya nin puting sapatos.
May sakit daw siya.,He said he was sick.,Anaa daw siyay sakit.,Sabi na magkasakit ya.,Nagkasakit daw siya.
Dahan-dahan tayong namumulok.,We are slowly growing.,Hinayhinay kami nga madunot.,Bagya-bagya tamung daragul.,Luway-luway kitang nagdadakula.
Mapolusyon ang hangin sa mamalaking siyudad.,The air in big cities is polluted.,Hugaw ang hangin sa dagkong syudad.,Ing angin kareng mangaragul a balen marinat ya.,An aire sa darakulang siudad maati.
Di ako nagdududa na babasahin mo ang mga sulat ko.,I do not doubt that you will read my letters.,Wala ako nagduha-duha nga basahon nimo ang akong mga sulat.,E ku magduda king abasa yu la ding kanakung sulat.,Dai ako nagdududa na babasahon nindo an sakong mga surat.
Gusto mo bang magluto ng pagkaing Hapon?,Do you want to cook Japanese food?,Ganahan ba ka magluto ug pagkaong Hinapon?,Buri meng lutuan ing pamangan a Hapon?,Gusto mo magluto nin kakanon na Hapon?
Mas gusto ko ngayon lumabas imbes na nasa bahay.,I now prefer going out instead of staying at home.,Labi nakong ganahan nga mogawas karon kaysa naa sa balay.,Mas buri ku ngeni ing lumual kesa keng manatili keng bale.,Mas gusto ko na ngonyan an magluwas imbes na magdanay sa harong.
Kanino mo gustong magsalita?,Who do you want to talk to?,Kinsa ba imong ganahan maistorya?,Ninu ing buri mung pakisabyan?,Siisay an gusto mong makaolay?
Ibang bayan ay ibang kaugalian.,Different people have different customs.,Ang ubang mga lungsod lainlain ang kostumbre.,Deng miyayaliwang tau atin lang miyayaliwang kaugalian.,An laen-laen na tawo igwa nin laen-laen na kostumbre.
Adik siya sa alak.,He is addicted to alcohol.,Naadik siya sa alkohol.,Adik ya keng alak.,Adik siya sa alkohol.
Binigyan niya ako ng halimbawa.,He gave me an example.,Gihatagan ko niyag ehemplo.,Dininan na kung alimbawa.,Tinawan niya ako nin halimbawa.
"Hawakan mo ang kamay ko. Ikaw at ako, tayong magkasama'y gagawa ng utopiya.","hold my hand You and I, together we will create utopia.","Kupti ang akong kamot. Ikaw ug ako, maghiusa kita sa pagbuhat og utopia.","talnan me ing gamat ku Ika at aku, abe-abe tamung gawang utopia.","kapotan an sakuyang kamot Ika asin ako, magkasararo kitang magmukna nin utopia."
Ka gulat ko!,I'm surprised!,Nakuratan ko!,mengapamulala ku!,Nabigla ako!
Sumama ka sa amin kung gusto mo.,Come with us if you want.,Uban ka kanamo kung ganahan ka.,Tuki ka kekami nung buri mu.,Mag-iba ka samuya kun gusto mo.
May sulatan sa kuwartong ito.,There is a letter in this room.,Adunay sulatanan sa kani nga kwarto.,Atin yang sulat keng silid ayni.,Igwa nin sarong surat sa kwartong ini.
Puwede mong kunin ang libro kung mababasa mo.,You can get the book if you can read it.,Mahimo nimong kuhaon ang libro kung makabasa ka.,Malyari meng akwa ing libru nung abasa me.,Puede mong makua an libro kun kaya mong basahon iyan.
May dumadalaw na ang pangalan ay Ono na gustong makita ka.,There is a visitor named Ono who wants to see you.,Adunay usa ka bisita nga ang ngalan kay Ono nga ganahan makigkita kanimo.,Atin metung a bisitang milagyuan Ono a bisang manakit keka.,Igwa nin sarong bisita na an ngaran Ono na gusto kang mahiling.
Isang klaseng dalandan iyon.,It's a kind of orange.,Usa ka klaseng aranghita to.,Metung yang klasing orange.,Sarong klase ini nin kahel.
Si Matias ay galing Urugway. Urugwayano siya.,Matias is from Uruguay. He is Uruguayan.,Si Matias kay gikan ug Urugway. Urugwayano siya.,Taga Uruguay ya i Matias. Uruguayan ya.,Taga Uruguay si Matias. Uruguayan siya.
Batang lalaki siyang mga beynte anyos.,He is a boy in his twenties.,Siya usa ka bata nga lalaki nga baynte anyos.,Metung yang anak a lalaking beinte anyos.,Siya sarong aking lalaki na nasa beynte anyos.
Batang lalaki siyang mga dalawampung taon.,He was a boy about twenty years old.,Siya usa ka bata nga lalaki nga mga baynte ka tuig.,Metung yang anak a lalaking manga aduang pulung banua.,Siya sarong aking lalaki na mga beynte anyos an edad.
Puwede na bang magsimulang kumain ako?,Can I start eating now?,Mahimo ba ako magsugod sa pagkaon karon?,Malyari ku bang magumpisa mangan ngeni?,Pwede na daw akong magpoon magkakan ngonyan?
May binulong siya sa kanya.,He whispered something to her.,Naa siyay gihunghong kaniya.,Atin yang binulong kaya.,May binulong siya saiya.
Dapat alagaan ninyong mabuti ang ating planeta: ang Tiyera.,You must take good care of our planet: Tierra.,Kinahanglan ninyo nga bantayan pag-ayo ang atong planeta: ang Tiyera..,Kailangan mung ingatan masalese ing kekatamung planeta: Tierra.,Dapat mong atamanon nin marhay an satong planeta: Tierra.
Dinidilaan ako niyong batang lalaki.,You boy is licking me.,Gidilaan ako sa kana nga bata.,Ing anak a lalaki didilaan naku.,Dinidilaan mo ako kan aki.
Mga wika-wika ang hilig ko.,Languages ​​are my passion.,Mga sinultian ang ganahan ko.,Deng amanu ila reng kanakung hilig.,An mga tataramon an sakuyang hilig.
Ang mag-alak ay hindi magaling sa kalusugan.,Drinking alcohol is not good for health.,Ang mag-alak ay hindi magaling sa kalusugan.,E masanting keng kalusugan ing pamanyinum alak.,An pag-inom nin arak bakong marahay sa salud.
Sinundan mo ba ang plano mo?,Did you follow your plan?,Gisunud ba nimo ang imong plano?,Tinuki ka king planu mu?,Sinunod mo daw an saimong plano?
Kailan tayo kakain? Gutom na ako!,when do we eat I'm hungry!,Kanus-a man kita mangaon? Gigutom na ko!,kapilan tamu mamangan danupan ku!,nuarin kita magkakan nagugutom ako!
Baka makikita natin ang mga pugad ng ibon.,We might see bird nests.,Mahimo naton makita ang mga salag sa langgam.,Malyari tamung manakit pugad da reng ayup.,Tibaad makahiling kita nin mga salag nin gamgam.
Kita ko ang tore sa bahay ko.,I can see the tower in my house.,Nakita ko ang tore sa akong balay.,Akakit ke ing tore keng bale ku.,Nahihiling ko an torre sa sakuyang harong.
"Mag-ingat ka sa mga mangdudukot, Ken.","Beware of kidnappers, Ken.","Pagbantay sa mga kawatan, Ken.","Mimingat kareng kidnapper, Ken.","Mag-ingat sa mga kidnaper, Ken."
Gusto kong mag-aral sa Paris.,I want to study in Paris.,Ganahan ko nga magtuon sa Paris.,Buri kung magaral king Paris.,Gusto kong magtuon sa Paris.
Tumira siyang mag-isa sa bahay kubo.,He lived alone in a hut.,Nag-inusara siyang nagpuyo sa payag.,Magdili-dili yang manuknangan king metung a kubo.,Nag-istar siyang solo sa sarong payag.
Siya at siya lamang ang alam ng buong katotohanan.,He and only he knows the whole truth.,Siya ug siya ra ang nakahibalo sa tibuuk nga kamatuoran.,Ya at ya mung bukud ing makibalu king mabilug a katutwan.,Siya asin siya sana an nakakaaram kan bilog na katotoohan.
"Dahil talagang malawak ang sansinukob, talagang maliit ka.","Because the universe is really vast, you are really small.","Tungod kay ang uniberso halapad kaayo, ikaw gamay kaayo.","Uling ing universe talagang malapad ya, ika talagang malati ka.","Huli ta an uniberso talagang mahiwas, ika talagang sadit."
"Kaluluwa, sabi niya sa akin.","Soul, he told me.","Kalag, gisultihan niya ako.","Kaladwa, sinabi na kaku.","Kalag, sabi niya sako."
"Galak, sabi niya sa akin.","Gladly, he told me.","Nalipay, gisultihan niya ako.","Masaya, sinabi na kaku.","Maogma, sinabi niya sako."
May iba-ibang porma ng gobyerno.,There are different forms of government.,Adunay lainlaing mga porma sa gobyerno.,Ating miyayaliwang uri ning gubyernu.,Igwa nin manlaen-laen na klase nin gobyerno.
Napapanot sila sa paghihintay ng gera.,They are getting skinny waiting for the war.,Gikapoy na sila sa pagpaabot sa giyera.,Payat la keng pamanenaya keng gera.,Nagpapayat na sinda sa paghalat kan gera.
Hindi nagbibigay ng gatas sa amin ang aming baka.,Our cow does not give us milk.,Ang among baka kay dili gahatag sa amo ug gatas.,E na kami dinan gatas ning baka mi.,Dai kami tinatawan nin gatas kan samong baka.
"Alas nuwebe na, sabi niya.","It's nine o'clock, he said.",Niana siya nga alas nuybe na.,"Alas nuebe na, ngana.","Alas nuwebe na, he!"
Ba't ka sumisigaw?,why are you shouting,Nganong gashagit ka?,ot kukulisak ka,ano ta nagkukurahaw kamo
Dyeli ng ubas ang pinakagusto ko.,Grape dye is my favorite.,Labing ganahan ko sa parras sa Dyeli.,ing grape dye ing paborito ku.,An tina nin ubas an paborito ko.
Inaalila niya ang kaibigan niya.,He worries about his friend.,Giulipon niya ang iyang higala.,Magmalasakit ya keng kakaluguran na.,Nahahadit siya sa saiyang amigo.
Nagpapakaalila siya sa kaibigan niya.,He worshiped his friend.,Nagpaulipon siya sa iyang higala.,Sinamba ya king kakaluguran na.,Sinamba niya an saiyang amigo.
Bakit mo sinusubukang tumakbo?,Why are you trying to run?,Nganong gapaningkamot ka nga modagan?,bakit ka magpursigi para tumakas?,Tano ta naghihingoa kang magdalagan?
Nakakain ka na ba ng hilaw na isda?,Have you ever eaten raw fish?,Nakakaon na ba kag hilaw nga isda?,Mengan ka bang asan a hilaw?,Nagkakan ka na daw nin hilaw na sira?
Titigil ang barko sa Yokohama.,The ship will stop at Yokohama.,Muhunong ang barko sa Yokohama.,Ing barko tuknang ya keng Yokohama.,An barko mapundo sa Yokohama.
Dumating na ba ang Playt 123?,Has Playt 123 arrived yet?,Niabot na ba ang playt 123?,Dumating na ba yung Playt 123?,Nag abot na daw si Playt 123?
Nagtatanim ng kamatis ang tiya ko sa hardin niya.,My aunt grows tomatoes in her garden.,Ang akong iyaan nagtanum og kamatis sa iyang tamnanan.,I tatang ku tatanam yang kamatis keng mula na.,An sakong tiya nagtatanom nin kamatis sa saiyang hardin.
Kulang ng panggatong.,Lack of fuel.,Dili igo ang pangsugnod.,Kulang ing gasolina.,Kakulangan nin gasolina.
May nagpoportuges.,Someone speaks Portuguese.,Naay gaportuges.,Atin magsalitang Portuguese.,May nagtataram nin Portuges.
Nakarating ka na ba sa Pransiya?,Have you been to France?,Nakaadto ka na ba sa Pransiya?,mekapunta naka keng france?,Nakaduman ka na sa Pransia?
"Kape pa? ""Hindi, tama na.""","More coffee? ""No, it's okay.""","Mudungag pa kag kape? ""Dili, igo na kana.""","Dakal pang kape? ""Ali, okay mu.""","Dugang na kape? ""Dai, ayos lang."""
Gusto kong mag-aral magtugtog ng banjo.,I want to learn to play the banjo.,Ganahan ko makakat-on motugtog og banjo.,Buri kung magaral banjo.,Gusto kong makanuod magtugtog nin banjo.
Paano naiimpluwensiya ng Internet ang memorya ng katauhan?,How does the Internet influence human memory?,Giunsa makaimpluwensya ang Internet sa panumduman sa tawo?,makananu yang makaimpluwensya ing internet keng memorya ning tau?,Paano nakakaimpluwensia an Internet sa memorya nin tawo?
Nabubo ang lahat ng gatas.,All the milk was spilled.,Ang tanan nga gatas nayabo.,Mibubu ya ngan ing gatas.,Naula an gabos na gatas.
Hindi dugo iyan. Betabel iyan.,That's not blood. That's betabel.,Dili kana dugo. Betabel kana.,E ya daya ita. Ita ing betabel.,Bako iyan dugo. Betabel yan.
Napatulog ako nang klase.,I fell asleep in class.,Nakatulog ko sa klase.,Metudtud ku keng klase.,Nakatulog ko sa klase.
Magaling si Goro sa Ingles.,Goro is good at English.,Maayo kaayo si Goro sa Ingles.,Magaling yang mag english i goro.,Si Goro maray sa Ingles.
Masuwerte si Tomas.,Tomas was lucky.,Swerte si Tomas.,Maswerti ya i Tomas.,Maswerte si Tomas.
Kamusta ang klase mo sa Pranses?,How was your French class?,Kumusta ang imong klase sa Pranses?,makananu ing kekang klase keng french?,Kumusta an saimong klase sa Pranses?
Mas magaling ang merong bagay kaysa sa wala.,Something is better than nothing.,Labing maayo nga adunay butang kay sa wala.,Mas masanting ing atin kesa keng ala.,Mas marahay an sarong bagay kisa mayo.
Hindi... Oo pala.,"No... Yes, by the way.",Dili... Oo diay.,"ali... wa, kung sabagay.","Dai... Iyo, kun sabagay."
May nagbukas ng pinto.,Someone opened the door.,Naay ning abri sa purtahan.,Atin mibuklat keng pasbul.,May nagbukas kan pinto.
Ano ang nasa pupitre?,What's on the desk?,Unsa ang naa sa lamesa?,Nanu ing atyu keng lamesa?,Ano an yaon sa lamesa?
Isip mo ba'y bading siya?,Do you think he's gay?,Sa imong hunahuna bayot siya?,Isipan mu bakla ya?,Sa hiling mo bakla siya?
Talagang baduy siya dahil walang moda ang suot.,He's really bad because he's wearing no fashion.,Baduy gyud siya kay wala siya sa uso iyang sanina.,Ala ya talaga uling alang fashion ing susulud na.,Malain talaga siya ta mayo siyang sulot na uso.
Isip mo ba'y hindi siya tomboy?,Do you think he is not gay?,Sa imong hunahuna dili ba siya lakin-on?,isipan mu ali ya bakla?,Sa hiling mo bako siyang bakla?
Ang klase ng edukasyon pisikal ay obligatoryo para sa lahat.,Physical education class is mandatory for everyone.,Kinahanglan ang klase sa pisikal nga edukasyon alang sa tanan.,Ing klase ning physical education mandatory ya para kareng sabla.,An klase sa pisikal na edukasyon obligado para sa gabos.
Siya ang tawag naming brilyanteng batang lalaki.,He is what we call a diamond boy.,Siya ang gitawag nato nga batang lalaki nga brilyante.,Iya ing awsan ming diamond boy.,Siya an inaapod niatong diamond boy.
Di ka makasakay sa kabayo.,You can't ride a horse.,Dili ka kasakay sa kabayo.,E ka malyaring sumake kabayu.,Dai ka pwedeng maglunad sa kabayo.
Sabihin mo sa akin kung kailan papara.,Tell me when to stop.,Sultihi ko kanus-a ka muhunong.,Sabyan mu nung kapilan ku tuknang.,Sabihan mo ako kun nuarin mapundo.
Natatandaan ko ang 1976.,I remember 1976.,Nahinumdom ko sa 1976.,atatandanan ke ing 1976.,Narumduman ko an 1976.
Naaalaala ko ang 1976.,I remember 1976.,Nahinumdom ko sa 1976.,atatandanan ke ing 1976.,Narumduman ko an 1976.
Inaalaala ko ang 1976.,I remember 1976.,Ginahinumdom ko ang 1976.,atatandanan ke ing 1976.,Narumduman ko an 1976.
Nilasahan ko ang libro niya.,I tasted his book.,Natilawan nako iyang libro.,Tikman ke ing libru na.,Natilawan ko an saiyang libro.
Naroon iyon.,It was there.,Anaa na.,Atyu ya karin.,Yaon duman.
Nagtataka siya sa katangahan niya.,He wonders at her stupidity.,Natingala siya sa iyang kadanghag.,Magmulala ya keng katangahan na.,Nagngangalas siya sa saiyang katangahan.
"Dahil takot siya sa teknolohiya, para siya talagang babae.","Because she's afraid of technology, she's like a real girl.","Tungod kay nahadlok siya sa teknolohiya, Mura gyud siyag babaye.",Uling tatakut ya keng technology balamu tune yang babae.,"Huli ta takot siya sa teknolohiya, garo siya sarong tunay na daraga."
Gusto kong magbiyaheng magsarili.,I want to travel alone.,Ganahan ko nga mobiyahe nga mag-inusara.,Buri kung maglakbe magdili-dili.,Gusto kong magbiyahe nin solo.
Anong paborito mong librong Harry Potter?,What is your favorite Harry Potter book?,Unsa ang imong pinalabing libro nga Harry Potter?,Nanu ing paborito mung libru kang Harry Potter?,Ano an paborito mong libro ni Harry Potter?
Konting mas malaki sa manok ang terki.,A turkey is slightly larger than a chicken.,Ang terki mas gamay gamay kaysa sa manok.,Ing pabo mas maragul ya bagya kesa keng manuk.,An pabo mas dakula nin kadikit kisa manok.
Walang makakaalam ng kalahatan.,No one can know everything.,Wala?y makahibalo sa kinatibuk-an.,Ala nang makabalu king sabla.,Mayo nin siisay man na makakaaram kan gabos.
Sarado ang puwerto sa paglalayag.,The port is closed to sailing.,Sirado ang pantalan.,Ing pantalan makasara ya keng pamaglayag.,An pantalan sarado sa paglayag.
